karate_club	34	78	1.665334536937735e-16
ER_n15_p0.2_s1	15	18	0.000000000000000e+00
ER_n15_p0.4_s1	15	35	2.775557561562891e-17
ER_n20_p0.15_s1_LCC	19	28	5.551115123125783e-17
ER_n20_p0.3_s1	20	58	5.551115123125783e-17
ER_n30_p0.1_s1	30	49	1.110223024625157e-16
ER_n30_p0.2_s1	30	86	6.938893903907228e-17
ER_n30_p0.35_s1	30	165	3.469446951953614e-17
ER_n50_p0.05_s1_LCC	47	67	1.110223024625157e-16
ER_n50_p0.1_s1	50	118	5.551115123125783e-17
ER_n15_p0.2_s2_LCC	14	17	0.000000000000000e+00
ER_n15_p0.4_s2	15	37	2.081668171172169e-17
ER_n20_p0.15_s2_LCC	18	29	5.551115123125783e-17
ER_n20_p0.3_s2	20	59	5.551115123125783e-17
ER_n30_p0.1_s2_LCC	27	43	5.551115123125783e-17
ER_n30_p0.2_s2	30	84	2.081668171172169e-17
ER_n30_p0.35_s2	30	143	4.163336342344337e-17
ER_n50_p0.05_s2_LCC	42	61	1.110223024625157e-16
ER_n50_p0.1_s2	50	113	5.551115123125783e-17
ER_n15_p0.2_s3	15	18	5.551115123125783e-17
ER_n15_p0.4_s3	15	35	5.551115123125783e-17
ER_n20_p0.15_s3	20	23	5.551115123125783e-17
ER_n20_p0.3_s3	20	48	4.163336342344337e-17
ER_n30_p0.1_s3	30	43	5.551115123125783e-17
ER_n30_p0.2_s3	30	82	6.938893903907228e-17
ER_n30_p0.35_s3	30	147	4.163336342344337e-17
ER_n50_p0.05_s3_LCC	45	56	1.665334536937735e-16
ER_n50_p0.1_s3	50	124	6.938893903907228e-17
GN_n20_k3_s1	20	19	0.000000000000000e+00
GN_n30_k4_s1	30	29	0.000000000000000e+00
GN_n50_k5_s1	50	49	0.000000000000000e+00
GN_n20_k3_s2	20	19	0.000000000000000e+00
GN_n30_k4_s2	30	29	0.000000000000000e+00
GN_n50_k5_s2	50	49	0.000000000000000e+00
GN_n20_k3_s3	20	19	0.000000000000000e+00
GN_n30_k4_s3	30	29	0.000000000000000e+00
GN_n50_k5_s3	50	49	0.000000000000000e+00
