f,seed,inserted,failures,load,false_positives,fpr,t_insert,t_query
4,1,200000,0,0.095367431640625,10497,0.052485,0.7015239120228216,1.7572547749150544
4,2,200000,0,0.095367431640625,10391,0.051955,0.6727044469444081,1.7550468349363655
4,3,200000,0,0.095367431640625,10415,0.052075,0.6685217670165002,1.7562751428922638
4,4,200000,0,0.095367431640625,10454,0.05227,0.666564485989511,1.754379084915854
4,5,200000,0,0.095367431640625,10333,0.051665,0.6671409129630774,1.7540656839264557
4,6,200000,0,0.095367431640625,10381,0.051905,0.6663528720382601,1.7534493550192565
4,7,200000,0,0.095367431640625,10282,0.05141,0.6695020899642259,1.7572746149962768
4,8,200000,0,0.095367431640625,10583,0.052915,0.6674269869690761,1.751207874971442
4,9,200000,0,0.095367431640625,10402,0.05201,0.6640655800001696,1.7518386150477454
4,10,200000,0,0.095367431640625,10503,0.052515,0.6699270049575716,1.7494376190006733
4,11,200000,0,0.095367431640625,10292,0.05146,0.6701392410323024,1.7503553869901225
4,12,200000,0,0.095367431640625,10374,0.05187,0.6664579049684107,1.7494835299439728
4,13,200000,0,0.095367431640625,10309,0.051545,0.6641407728893682,1.7484153070254251
4,14,200000,0,0.095367431640625,10413,0.052065,0.666045593097806,1.7488020980963483
4,15,200000,0,0.095367431640625,10516,0.05258,0.6658739780541509,1.752894236939028
4,16,200000,0,0.095367431640625,10412,0.05206,0.6676319729303941,1.7547032539732754
4,17,200000,0,0.095367431640625,10469,0.052345,0.6660253419540823,1.7507788109360263
4,18,200000,0,0.095367431640625,10407,0.052035,0.6663895630044863,1.7497696089558303
4,19,200000,0,0.095367431640625,10378,0.05189,0.6660542429890484,1.7497542289784178
4,20,200000,0,0.095367431640625,10468,0.05234,0.6687586280750111,1.7523934420896694
8,1,200000,0,0.095367431640625,597,0.002985,0.6649037569295615,1.790435087052174
8,2,200000,0,0.095367431640625,600,0.003,0.6660753230098635,1.790831660036929
8,3,200000,0,0.095367431640625,583,0.002915,0.6636747280135751,1.8137816099915653
8,4,200000,0,0.095367431640625,618,0.00309,0.6821582689881325,1.894195375032723
8,5,200000,0,0.095367431640625,595,0.002975,0.6774562610080466,1.8953410208923742
8,6,200000,0,0.095367431640625,594,0.00297,0.678942917031236,1.8510102989384905
8,7,200000,0,0.095367431640625,585,0.002925,0.6667356239631772,1.7732032260391861
8,8,200000,0,0.095367431640625,587,0.002935,0.6484271390363574,1.759026201092638
8,9,200000,0,0.095367431640625,647,0.003235,0.6537928490433842,1.7642527139978483
8,10,200000,0,0.095367431640625,612,0.00306,0.6516169999958947,1.758669359027408
8,11,200000,0,0.095367431640625,602,0.00301,0.6488211720716208,1.7649974080268294
8,12,200000,0,0.095367431640625,615,0.003075,0.6515807489631698,1.7595835810061544
8,13,200000,0,0.095367431640625,572,0.00286,0.6518760399194434,1.759349916013889
8,14,200000,0,0.095367431640625,594,0.00297,0.6522465009475127,1.761131402105093
8,15,200000,0,0.095367431640625,561,0.002805,0.6506996429525316,1.7620848210062832
8,16,200000,0,0.095367431640625,558,0.00279,0.6513452630024403,1.7603878790978342
8,17,200000,0,0.095367431640625,575,0.002875,0.650664062006399,1.7694962839595973
8,18,200000,0,0.095367431640625,594,0.00297,0.6648676180047914,1.7854888360016048
8,19,200000,0,0.095367431640625,619,0.003095,0.6594294379465282,1.7822400339646265
8,20,200000,0,0.095367431640625,601,0.003005,0.6506637709680945,1.7585351800080389
12,1,200000,0,0.095367431640625,49,0.000245,0.6515401490032673,1.7687646319391206
12,2,200000,0,0.095367431640625,40,0.0002,0.6547836209647357,1.7671393000055104
12,3,200000,0,0.095367431640625,39,0.000195,0.6538930030073971,1.7716425020480528
12,4,200000,0,0.095367431640625,41,0.000205,0.6560280499979854,1.7800647059921175
12,5,200000,0,0.095367431640625,45,0.000225,0.6552703659981489,1.773944042972289
12,6,200000,0,0.095367431640625,36,0.00018,0.6538686989806592,1.7843767419690266
12,7,200000,0,0.095367431640625,31,0.000155,0.6591252039652318,1.7742011429509148
12,8,200000,0,0.095367431640625,46,0.00023,0.6571279109921306,1.7794522680342197
12,9,200000,0,0.095367431640625,37,0.000185,0.6554223779821768,1.7745715349446982
12,10,200000,0,0.095367431640625,44,0.00022,0.6549363218946382,1.7772790599847212
12,11,200000,0,0.095367431640625,38,0.00019,0.6552049110177904,1.777027981937863
12,12,200000,0,0.095367431640625,34,0.00017,0.6555801619542763,1.775131633039564
12,13,200000,0,0.095367431640625,33,0.000165,0.6562385839642957,1.7758260440314189
12,14,200000,0,0.095367431640625,43,0.000215,0.6535027980571613,1.772607202990912
12,15,200000,0,0.095367431640625,31,0.000155,0.6557719589909539,1.7773289119359106
12,16,200000,0,0.095367431640625,49,0.000245,0.6611206970410421,1.778688053949736
12,17,200000,0,0.095367431640625,36,0.00018,0.6544543380150571,1.773194952053018
12,18,200000,0,0.095367431640625,39,0.000195,0.6594332739477977,1.7719037620117888
12,19,200000,0,0.095367431640625,37,0.000185,0.6543525729794055,1.7713732499396428
12,20,200000,0,0.095367431640625,40,0.0002,0.6539710600627586,1.7705336729995906
16,1,200000,0,0.095367431640625,3,1.5e-05,0.6539273189846426,1.76895820396021
